格,式,大前提,小前提,结论,是否有效,谬误类型,传统名称,是否弱式
1,AAA,所有M都是P,所有S都是M,所有S都是P,是,,巴巴拉,
1,AAE,所有M都是P,所有S都是M,所有S都不是P,否,大项不当周延,,
1,AAI,所有M都是P,所有S都是M,有些S是P,是,,巴巴里,是
1,AAO,所有M都是P,所有S都是M,有些S不是P,否,大项不当周延,,
1,AEA,所有M都是P,所有S都不是M,所有S都是P,否,否定前提得出肯定结论,,
1,AEE,所有M都是P,所有S都不是M,所有S都不是P,否,大项不当周延,,
1,AEI,所有M都是P,所有S都不是M,有些S是P,否,否定前提得出肯定结论,,
1,AEO,所有M都是P,所有S都不是M,有些S不是P,否,大项不当周延,,
1,AIA,所有M都是P,有些S是M,所有S都是P,否,特称前提得出全称结论,,
1,AIE,所有M都是P,有些S是M,所有S都不是P,否,特称前提得出全称结论,,
1,AII,所有M都是P,有些S是M,有些S是P,是,,达里,
1,AIO,所有M都是P,有些S是M,有些S不是P,否,大项不当周延,,
1,AOA,所有M都是P,有些S不是M,所有S都是P,否,否定前提得出肯定结论,,
1,AOE,所有M都是P,有些S不是M,所有S都不是P,否,特称前提得出全称结论,,
1,AOI,所有M都是P,有些S不是M,有些S是P,否,否定前提得出肯定结论,,
1,AOO,所有M都是P,有些S不是M,有些S不是P,否,大项不当周延,,
1,EAA,所有M都不是P,所有S都是M,所有S都是P,否,否定前提得出肯定结论,,
1,EAE,所有M都不是P,所有S都是M,所有S都不是P,是,,色拉伦特,
1,EAI,所有M都不是P,所有S都是M,有些S是P,否,否定前提得出肯定结论,,
1,EAO,所有M都不是P,所有S都是M,有些S不是P,是,,色拉龙特,是
1,EEA,所有M都不是P,所有S都不是M,所有S都是P,否,两个否定前提,,
1,EEE,所有M都不是P,所有S都不是M,所有S都不是P,否,两个否定前提,,
1,EEI,所有M都不是P,所有S都不是M,有些S是P,否,两个否定前提,,
1,EEO,所有M都不是P,所有S都不是M,有些S不是P,否,两个否定前提,,
1,EIA,所有M都不是P,有些S是M,所有S都是P,否,否定前提得出肯定结论,,
1,EIE,所有M都不是P,有些S是M,所有S都不是P,否,特称前提得出全称结论,,
1,EII,所有M都不是P,有些S是M,有些S是P,否,否定前提得出肯定结论,,
1,EIO,所有M都不是P,有些S是M,有些S不是P,是,,费里奥,
1,EOA,所有M都不是P,有些S不是M,所有S都是P,否,两个否定前提,,
1,EOE,所有M都不是P,有些S不是M,所有S都不是P,否,两个否定前提,,
1,EOI,所有M都不是P,有些S不是M,有些S是P,否,两个否定前提,,
1,EOO,所有M都不是P,有些S不是M,有些S不是P,否,两个否定前提,,
1,IAA,有些M是P,所有S都是M,所有S都是P,否,特称前提得出全称结论,,
1,IAE,有些M是P,所有S都是M,所有S都不是P,否,特称前提得出全称结论,,
1,IAI,有些M是P,所有S都是M,有些S是P,否,中项不周延,,
1,IAO,有些M是P,所有S都是M,有些S不是P,否,中项不周延,,
1,IEA,有些M是P,所有S都不是M,所有S都是P,否,否定前提得出肯定结论,,
1,IEE,有些M是P,所有S都不是M,所有S都不是P,否,特称前提得出全称结论,,
1,IEI,有些M是P,所有S都不是M,有些S是P,否,否定前提得出肯定结论,,
1,IEO,有些M是P,所有S都不是M,有些S不是P,否,大项不当周延,,
1,IIA,有些M是P,有些S是M,所有S都是P,否,两个特称前提,,
1,IIE,有些M是P,有些S是M,所有S都不是P,否,两个特称前提,,
1,III,有些M是P,有些S是M,有些S是P,否,两个特称前提,,
1,IIO,有些M是P,有些S是M,有些S不是P,否,两个特称前提,,
1,IOA,有些M是P,有些S不是M,所有S都是P,否,否定前提得出肯定结论,,
1,IOE,有些M是P,有些S不是M,所有S都不是P,否,两个特称前提,,
1,IOI,有些M是P,有些S不是M,有些S是P,否,否定前提得出肯定结论,,
1,IOO,有些M是P,有些S不是M,有些S不是P,否,两个特称前提,,
1,OAA,有些M不是P,所有S都是M,所有S都是P,否,否定前提得出肯定结论,,
1,OAE,有些M不是P,所有S都是M,所有S都不是P,否,特称前提得出全称结论,,
1,OAI,有些M不是P,所有S都是M,有些S是P,否,否定前提得出肯定结论,,
1,OAO,有些M不是P,所有S都是M,有些S不是P,否,中项不周延,,
1,OEA,有些M不是P,所有S都不是M,所有S都是P,否,两个否定前提,,
1,OEE,有些M不是P,所有S都不是M,所有S都不是P,否,两个否定前提,,
1,OEI,有些M不是P,所有S都不是M,有些S是P,否,两个否定前提,,
1,OEO,有些M不是P,所有S都不是M,有些S不是P,否,两个否定前提,,
